Change component parameters: Designator = "J12" ("J12"); Footprint = "OLED128x32"; UniqueID = "\RXZGPLOD\OOMSHEOZ" ("\RXZGPLOD\OOMSHEOZ")
Change component parameters (AddParameter): Name = "FTP"; Value = "THT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MAN"; Value = "Samtec"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANREF"; Value = "CES-104-02-S-S"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "NOTE"; Value = "_"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "CON-000000009"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SUP"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SUPREF"; Value = "200-CES10402SS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "TOL"; Value = "_"; VariantName = "[No Variations]"
